title,description
Property,"Property to store collected information. Input will be skipped if property has value (unless 'Always prompt' is true)."
Always prompt,"Collect information even if the specified 'property' is not empty."
Allow Interruptions,A boolean expression that determines whether the parent should be allowed to interrupt the input.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Confirm input dialog,Collect information - Ask for confirmation (yes or no).
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Confirmation Entity Recognizer,Recognizer which recognizes confirmation choices (yes/no).
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Continue Loop,Stop executing this template and continue with the next iteration of the loop.
Tooling property,Open ended property for tooling.
Id,Optional unique id using with RecognizerSet.
Recognizers,List of Recognizers defined for this set.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Cross-trained Recognizer Set,Recognizer for selecting between cross trained recognizers.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Currency Entity Recognizer,Recognizer which recognizes currency.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
DateTime Entity Recognizer,Recognizer which recognizes dates and time fragments.
Default locale,Default locale.
Tooling property,Open ended property for tooling.
Default Date,"'Property' will be set to the value or the result of the expression when max turn count is exceeded."
Value,"'Property' will be set to the value or the result of the expression unless it evaluates to null."
Output format,Expression to use for formatting the output.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Initial prompt,Message to send to collect information.
Unrecognized prompt,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Invalid prompt,Message to send when the user input does not meet any validation expression.
Default value response,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Max turn count,Maximum number of re-prompt attempts to collect information.
Condition,Expression which needs to met for the input to be considered valid
Validation expressions,Expression to validate user input.
Property,"Property to store collected information. Input will be skipped if property has value (unless 'Always prompt' is true)."
Always prompt,"Collect information even if the specified 'property' is not empty."
Allow Interruptions,A boolean expression that determines whether the parent should be allowed to interrupt the input.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Date/time input dialog,Collect information - Ask for date and/ or time
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Debugger break,"If debugger is attached, stop the execution at this point in the conversation."
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
ActivityId,expression to an activityId to delete
Disabled,Optional condition which if true will disable this action.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Delete Activity,Delete an activity that was previously sent.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Property,Property to delete.
Properties,Properties to delete.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Delete Properties,Delete multiple properties and any value it holds.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Property,Property to delete.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Delete Property,Delete a property and any value it holds.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Dimension Entity Recognizer,Recognizer which recognizes dimension.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Standard change,Standard change types.
Type of change,Type of change to apply to the current actions.
Actions,Actions to apply.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Edit actions.,Edit the current list of actions.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Enum,Standard change type.
Type of change,Type of change to the array in memory.
Disabled,Optional condition which if true will disable this action.
Items property,Property that holds the array to update.
Result Property,Property to store the result of this action.
Value,New value or expression.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Edit array,Modify an array in memory
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Email Entity Recognizer,Recognizer which recognizes email.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Built-in event,Standard event type.
Custom event,Custom event type
Event name,Name of the event to emit.
Event value,Value to emit with the event (optional).
Bubble event,If true this event is passed on to parent dialogs.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Emit a custom event,Emit an event. Capture this event with a trigger.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Value,Result value returned to the parent dialog.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
End dialog,End this dialog.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
End turn,End the current turn without ending the dialog.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
First Trigger Selector,Selector for first true rule
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Items property,Property that holds the array.
Index property,Property that holds the index of the item.
Value property,Property that holds the value of the item.
Actions,"Actions to execute for each item. Use '$foreach.value' to access the value of each item. Use '$foreach.index' to access the index of each item."
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
For each item,Execute actions on each item in an a collection.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Items property,Property that holds the array.
Actions,"Actions to execute for each page. Use '$foreach.page' to access each page."
Index property,Property that holds the index of the page.
Page property,Property that holds the value of the page.
Page size,Number of items in each page.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
For each page,Execute actions on each page (collection of items) in an array.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Property,Property (named location to store information).
ActivityId,Activity ID or expression to an activityId to use to get the members. If none is defined then the current activity id will be used.
Disabled,Optional condition which if true will disable this action.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Get Activity Members,Get the members who are participating in an activity. (BotFrameworkAdapter only)
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Property,Property (named location to store information).
Disabled,Optional condition which if true will disable this action.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Get Converation Members,Get the members who are participating in an conversation. (BotFrameworkAdapter only)
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Action Id,Action Id to execute next
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Go to Action,Go to an an action by id.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Guid Entity Recognizer,Recognizer which recognizes guids.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Hashtag Entity Recognizer,Recognizer which recognizes Hashtags.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
HTTP method,HTTP method to use.
Url,URL to call (supports data binding).
Body,Body to include in the HTTP call (supports data binding).
Result property,"A property to store the result of this action. The result can include any of the 4 properties from the HTTP response: statusCode, reasonPhrase, content, and headers. If the content is JSON it will be a deserialized object. The values can be accessed via .content for example."
Content type,Content media type for the body.
Headers,One or more headers to include in the request (supports data binding).
Standard response,Standard response type.
Response type,"Defines the type of HTTP response. Automatically calls the 'Send a response' action if set to 'Activity' or 'Activities'."
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
HTTP request,Make a HTTP request.
Microsoft ActivityTemplates,"Components which are ActivityTemplate, which is string template, an activity, or a implementation of ActivityTemplate"
Microsoft Dialogs,Components which derive from Dialog
Reference to Microsoft.IEntityRecognizer,Reference to Microsoft.IEntityRecognizer .dialog file.
Entity Recognizers,Components which derive from EntityRecognizer.
Microsoft LanguageGenerator,Components which dervie from the LanguageGenerator class
Microsoft Recognizer,Components which derive from Recognizer class
Microsoft TextTemplate,Components which derive from TextTemplate class
Reference to Microsoft.ITrigger,Reference to Microsoft.ITrigger .dialog file.
Microsoft Triggers,Components which derive from OnCondition class.
Reference to Microsoft.ITriggerSelector,Reference to Microsoft.ITriggerSelector .dialog file.
Selectors,Components which derive from TriggerSelector class.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Condition,Expression to evaluate.
Disabled,Optional condition which if true will disable this action.
Actions,Actions to execute if condition is true.
Else,Actions to execute if condition is false.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
If condition,Two-way branch the conversation flow based on a condition.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Initial prompt,Message to send to collect information.
Unrecognized prompt,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Invalid prompt,Message to send when the user input does not meet any validation expression.
Default value response,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Max turn count,Maximum number of re-prompt attempts to collect information.
Condition,Expression which needs to met for the input to be considered valid
Validation expressions,Expression to validate user input.
Property,"Property to store collected information. Input will be skipped if property has value (unless 'Always prompt' is true)."
Always prompt,"Collect information even if the specified 'property' is not empty."
Allow Interruptions,A boolean expression that determines whether the parent should be allowed to interrupt the input.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Ip Entity Recognizer,Recognizer which recognizes internet IP patterns (like 192.1.1.1).
Locale,Locale like en-us.
Per-locale policy,Language policy per locale.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Language Policy,This represents a policy map for locales lookups to use for language
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Text,Information to log.
Label,Label for the trace activity (used to identify it in a list of trace activities.)
Send Trace Activity,"If true, automatically sends a TraceActivity (view in Bot Framework Emulator)."
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Log to console,Log a message to the host application. Send a TraceActivity to Bot Framework Emulator (optional).
Tooling property,Open ended property for tooling.
Id,"Optional unique id using with RecognizerSet.  Other recognizers should return 'DeferToRecognizer_{Id}' intent when cross training data for this recognizer."
LUIS Application ID,Application ID for your model from the LUIS service.
LUIS Endpoint,Endpoint to use for LUIS service like https://westus.api.cognitive.microsoft.com.
LUIS prediction key,LUIS prediction key used to call endpoint.
External Entity Recognizer,Entities recognized by this recognizer will be passed to LUIS as external entities.
Entity,Entity to extend with a dynamic list.
Canonical form,Resolution if any synonym matches.
Synonym,Synonym for canonical form.
Synonyms,List of synonyms for a canonical form.
List entry,Canonical form and synonynms.
Dynamic list,List of canonical forms and synonyms.
Entity list,Lists of canonical values and synonyms for an entity.
Dynamic lists,Runtime defined entity lists.
Include all intents,"True for all intents, false for only top intent."
Include $instance,True to include $instance metadata in the LUIS response.
Log utterances,True to log utterances on LUIS service.
Prefer External Entities,True to prefer external entities to those generated by LUIS models.
Slot,Slot to use for talking to LUIS service like production or staging.
Version,LUIS application version to use.
Prediction options,Options to control LUIS prediction behavior.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
LUIS Recognizer,LUIS recognizer.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Mentions Entity Recognizer,Recognizer which recognizes @Mentions
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Most Specific Trigger Selector,Select most specific true events with optional additional selector
Tooling property,Open ended property for tooling.
Id,"Optional unique id using with RecognizerSet.  Other recognizers should return 'DeferToRecognizer_{Id}' intent when cross training data for this recognizer."
Language policy,Defines fall back languages to try per user input language.
Recognizers,Map of language -> Recognizer
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Multi-language recognizer,Configure one recognizer per language and the specify the language fallback policy.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Number Entity Recognizer,Recognizer which recognizes numbers.
Tooling property,Open ended property for tooling.
Default value,"'Property' will be set to the value of this expression when max turn count is exceeded."
Value,"'Property' will be set to the value of this expression unless it evaluates to null."
Output format,Expression to format the number output.
Default locale,Default locale to use if there is no locale available..
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Initial prompt,Message to send to collect information.
Unrecognized prompt,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Invalid prompt,Message to send when the user input does not meet any validation expression.
Default value response,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Max turn count,Maximum number of re-prompt attempts to collect information.
Condition,Expression which needs to met for the input to be considered valid
Validation expressions,Expression to validate user input.
Property,"Property to store collected information. Input will be skipped if property has value (unless 'Always prompt' is true)."
Always prompt,"Collect information even if the specified 'property' is not empty."
Allow Interruptions,A boolean expression that determines whether the parent should be allowed to interrupt the input.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Number input dialog,Collect information - Ask for a number.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
NumberRange Entity Recognizer,Recognizer which recognizes ranges of numbers (Example:2 to 5).
Tooling property,Open ended property for tooling.
Connection name,The connection name configured in Azure Web App Bot OAuth settings.
Disabled,Optional condition which if true will disable this action.
Text,Text shown in the OAuth signin card.
Title,Title shown in the OAuth signin card.
Timeout,Time out setting for the OAuth signin card.
Token property,Property to store the OAuth token result.
Invalid prompt,Message to send if user response is invalid.
Default value response,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Max turn count,Maximum number of re-prompt attempts to collect information.
Default value,Expression to examine on each turn of the conversation as possible value to the property.
Allow Interruptions,A boolean expression that determines whether the parent should be allowed to interrupt the input.
Always prompt,"Collect information even if the specified 'property' is not empty."
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
[object Object],
OAuthInput Dialog,Collect login information.
Tooling property,Open ended property for tooling.
Activity type,The Activity.Type to match
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On activity,Actions to perform on receipt of a generic activity.
Tooling property,Open ended property for tooling.
Property,Property that will be set after entity is selected.
Entity,Entity being put into property
Operation,Operation for assigning entity.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On entity assignment,Actions to take when an entity should be assigned to a property.
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On begin dialog,Actions to perform when this dialog begins.
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On cancel dialog,Actions to perform on cancel dialog event.
Tooling property,Open ended property for tooling.
Property to be set,Property that will be set after entity is selected.
Ambiguous entity,Ambiguous entity
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On choose entity,Actions to be performed when an entity value needs to be resolved.
Tooling property,Open ended property for tooling.
Intent,Intent name to trigger on.
Intents,Intents that must be in the ChooseIntent result for this condition to trigger.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On ambigious intent,Actions to perform on when an intent is ambigious.
Tooling property,Open ended property for tooling.
Entity being assigned,Entity being assigned to property choice
Property name,Possible property to choose.
Possible properties,Properties to be chosen between.
Entity name,Entity name being chosen between.
Entities,Ambiguous entity names.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On choose property,Actions to take when there are multiple possible mappings of entities to properties.
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
